price,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht
179.0,18.0,99.0,2660.0,378.0,480.0,112.0,3040.0
119.0,18.0,99.0,811.0,378.0,354.0,70.5,1130.0
159.0,10.0,99.0,914.0,262.0,382.0,118.0,1860.0
59.95,9.0,99.0,806.0,262.0,382.0,70.5,1030.0
169.0,7.0,99.0,764.0,378.0,582.0,103.0,2250.0
54.95,1.5,99.0,85.0,262.0,370.0,180.0,1430.0
159.0,9.0,99.0,1082.0,378.0,480.0,70.5,1520.0
46.95,8.0,99.0,253.0,191.0,262.0,46.0,318.0
39.95,7.0,99.0,307.0,222.0,262.0,76.0,515.0
59.95,10.0,99.0,830.0,262.0,382.0,70.5,980.0
179.0,18.0,99.0,1458.0,282.0,480.0,118.0,1990.0
119.0,7.0,99.0,913.0,378.0,480.0,94.0,1810.0
89.95,9.0,99.0,601.0,262.0,382.0,70.5,877.0
269.0,18.0,99.0,2336.0,378.0,582.0,118.0,2860.0
36.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
4.95,5.0,99.0,10.0,106.0,94.0,24.0,150.0
209.0,18.0,99.0,1684.0,378.0,480.0,112.0,2330.0
24.95,6.0,99.0,140.0,191.0,205.0,46.0,222.0
59.95,9.0,99.0,905.0,262.0,382.0,70.5,882.0
36.95,6.0,99.0,279.0,191.0,354.0,59.0,475.0
589.0,18.0,99.0,6167.0,480.0,523.0,218.0,6890.0
39.95,8.0,99.0,403.0,262.0,191.0,72.0,436.0
26.95,6.0,99.0,108.0,141.0,191.0,46.0,131.0
199.0,6.0,12.0,1226.0,480.0,582.0,124.0,301.0
32.95,9.0,99.0,280.0,141.0,262.0,72.0,319.0
529.0,16.0,99.0,6020.0,490.0,595.0,190.0,7510.0
119.0,9.0,99.0,1056.0,282.0,540.0,59.0,1400.0
36.95,1.5,99.0,65.0,180.0,370.0,180.0,1050.0
239.0,18.0,99.0,1478.0,378.0,582.0,87.0,2130.0
54.95,8.0,99.0,384.0,262.0,282.0,59.0,526.0
119.0,9.0,99.0,874.0,282.0,540.0,78.5,1860.0
59.95,10.0,99.0,630.0,354.0,191.0,70.0,565.0
109.0,10.0,99.0,1073.0,382.0,262.0,118.0,1270.0
59.95,9.0,99.0,474.0,262.0,382.0,70.5,710.0
84.95,10.0,99.0,646.0,262.0,382.0,70.5,880.0
179.0,18.0,99.0,1456.0,282.0,480.0,118.0,1830.0
74.95,18.0,99.0,939.0,382.0,262.0,56.5,615.0
209.0,18.0,99.0,1434.0,378.0,582.0,87.0,2270.0
119.0,18.0,99.0,1363.0,282.0,480.0,91.0,1620.0
109.0,10.0,99.0,1132.0,262.0,382.0,118.0,1480.0
219.0,18.0,99.0,2319.0,582.0,378.0,103.0,2420.0
119.0,14.0,99.0,1062.0,378.0,354.0,70.5,1160.0
36.95,2.0,99.0,21.0,262.0,282.0,95.5,593.0
24.95,7.0,99.0,137.0,141.0,262.0,61.0,257.0
24.95,7.0,99.0,237.0,191.0,262.0,46.0,304.0
119.0,10.0,99.0,1360.0,282.0,480.0,118.0,1740.0
269.0,18.0,99.0,2352.0,378.0,582.0,118.0,3270.0
269.0,18.0,99.0,1920.0,378.0,582.0,103.0,2780.0
119.0,18.0,99.0,1107.0,282.0,480.0,91.0,1440.0
139.0,10.0,99.0,835.0,378.0,354.0,94.0,1400.0
489.0,8.0,99.0,3696.0,191.0,354.0,70.0,6120.0
169.0,18.0,99.0,2125.0,378.0,480.0,112.0,2450.0
119.0,8.0,99.0,1394.0,378.0,480.0,94.0,1920.0
24.95,6.0,99.0,223.0,141.0,262.0,72.0,311.0
24.95,2.0,99.0,20.0,262.0,282.0,95.5,604.0
99.0,18.0,99.0,834.0,354.0,191.0,118.0,1010.0
32.95,9.0,99.0,261.0,141.0,262.0,72.0,323.0
54.95,7.0,99.0,434.0,222.0,262.0,76.0,575.0
42.95,6.0,99.0,275.0,262.0,282.0,59.0,460.0
32.95,8.0,99.0,262.0,141.0,262.0,72.0,305.0
32.95,8.0,99.0,291.0,141.0,262.0,72.0,320.0
32.95,9.0,99.0,319.0,141.0,262.0,72.0,339.0
36.95,5.0,99.0,215.0,191.0,354.0,91.0,530.0
59.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
119.0,16.0,99.0,1685.0,191.0,354.0,118.0,1350.0
26.95,7.0,99.0,217.0,141.0,262.0,91.0,373.0
139.0,18.0,99.0,1173.0,480.0,282.0,91.0,1340.0
42.95,7.0,99.0,285.0,191.0,262.0,61.0,385.0
54.95,8.0,99.0,384.0,262.0,382.0,56.5,630.0
74.95,18.0,99.0,756.0,382.0,262.0,70.5,745.0
36.95,4.0,99.0,157.0,191.0,262.0,46.0,365.0
54.95,7.0,99.0,312.0,222.0,262.0,76.0,530.0
54.95,4.0,99.0,790.0,262.0,370.0,180.0,1590.0
24.95,6.0,99.0,198.0,191.0,262.0,46.0,280.0
54.95,9.0,99.0,592.0,191.0,354.0,70.0,630.0
69.95,8.0,99.0,494.0,262.0,382.0,56.5,722.0
379.0,18.0,99.0,2065.0,582.0,480.0,91.0,3330.0
159.0,18.0,99.0,1476.0,378.0,480.0,112.0,2470.0
629.0,18.0,99.0,9036.0,262.0,317.0,70.5,600.0
39.95,4.0,99.0,130.0,191.0,262.0,61.0,384.0
18.95,6.0,99.0,139.0,157.0,141.0,45.0,151.0
149.0,2.0,5.0,105.0,480.0,582.0,124.0,2750.0
299.0,18.0,99.0,2646.0,480.0,582.0,124.0,4160.0
539.0,18.0,99.0,3854.0,480.0,582.0,170.0,6000.0
99.0,9.0,99.0,1038.0,282.0,540.0,59.0,1260.0
59.95,18.0,99.0,608.0,382.0,262.0,70.5,740.0
17.95,1.5,99.0,1.0,435.0,385.0,6.0,287.0
169.0,7.0,99.0,815.0,378.0,582.0,118.0,2590.0
169.0,12.0,99.0,2010.0,378.0,582.0,103.0,2970.0
59.95,10.0,99.0,476.0,354.0,191.0,70.0,530.0
59.95,9.0,99.0,672.0,262.0,382.0,70.5,910.0
36.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
17.95,4.0,99.0,1.0,438.0,387.0,3.0,242.0
29.95,7.0,99.0,253.0,262.0,191.0,61.0,353.0
16.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
4.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
4.95,6.0,99.0,87.0,262.0,317.0,70.5,600.0
159.0,3.0,99.0,218.0,480.0,582.0,124.0,3450.0
26.95,7.0,99.0,244.0,141.0,262.0,91.0,419.0
179.0,16.0,99.0,1471.0,480.0,118.0,282.0,1820.0
119.0,9.0,99.0,868.0,282.0,540.0,78.5,1450.0
46.95,7.0,99.0,282.0,191.0,262.0,61.0,385.0
26.95,7.0,99.0,212.0,141.0,262.0,91.0,390.0
54.95,6.0,99.0,370.0,191.0,354.0,70.0,601.0
119.0,7.0,99.0,1045.0,378.0,480.0,94.0,2210.0
84.95,18.0,99.0,854.0,354.0,191.0,118.0,970.0
39.95,8.0,99.0,390.0,191.0,354.0,70.0,650.0
119.0,7.0,99.0,842.0,378.0,480.0,70.5,1780.0
24.95,7.0,99.0,215.0,191.0,262.0,46.0,382.0
26.95,7.0,99.0,260.0,141.0,262.0,91.0,420.0
99.0,9.0,99.0,764.0,378.0,354.0,70.5,1090.0
84.95,18.0,99.0,584.0,354.0,191.0,91.0,790.0
189.0,11.0,99.0,2017.0,378.0,582.0,118.0,2920.0
39.95,8.0,99.0,316.0,222.0,262.0,76.0,595.0
299.0,16.0,99.0,4002.0,480.0,582.0,170.0,4660.0
32.95,7.0,99.0,280.0,141.0,262.0,72.0,305.0
59.95,18.0,99.0,812.0,262.0,382.0,56.5,660.0
42.95,2.0,99.0,22.0,191.0,354.0,70.0,424.0
54.95,6.0,99.0,436.0,262.0,382.0,70.5,785.0
46.95,8.0,99.0,285.0,191.0,262.0,46.0,380.0
36.95,4.0,99.0,484.0,179.0,369.5,180.0,1040.0
99.0,4.0,99.0,498.0,378.0,354.0,94.0,1700.0
74.95,6.0,99.0,231.0,262.0,317.0,90.0,510.0
18.95,6.0,99.0,88.0,122.0,141.0,46.0,100.0
42.95,7.0,99.0,274.0,262.0,191.0,61.0,350.0
24.95,5.0,99.0,197.0,191.0,262.0,72.0,434.0
79.95,9.0,99.0,412.0,262.0,382.0,56.5,730.0
39.95,8.0,99.0,258.0,61.0,191.0,262.0,307.0
169.0,9.0,99.0,989.0,378.0,480.0,70.5,1470.0
299.0,18.0,99.0,2807.0,124.0,582.0,480.0,3980.0
54.95,6.0,99.0,433.0,262.0,382.0,56.5,715.0
119.0,10.0,99.0,973.0,282.0,540.0,59.0,1420.0
249.0,18.0,99.0,2899.0,480.0,582.0,124.0,3870.0
36.95,5.0,99.0,295.0,262.0,282.0,59.0,560.0
59.95,12.0,99.0,598.0,191.0,262.0,61.0,657.0
54.95,4.0,99.0,235.0,282.0,480.0,61.0,970.0
139.0,7.0,99.0,154.0,141.0,157.0,61.0,1650.0
119.0,18.0,99.0,1810.0,378.0,480.0,112.0,2700.0
79.95,8.0,99.0,615.0,262.0,382.0,56.5,700.0
54.95,8.0,99.0,482.0,262.0,282.0,76.0,641.0
24.95,7.0,99.0,23.0,191.0,354.0,91.0,532.0
119.0,9.0,99.0,924.0,282.0,480.0,74.0,1390.0
219.0,8.0,99.0,2010.0,480.0,582.0,91.0,3290.0
74.95,9.0,99.0,722.0,282.0,480.0,61.0,930.0
46.95,7.0,99.0,227.0,262.0,382.0,70.5,400.0
139.0,18.0,99.0,1466.0,282.0,480.0,91.0,1730.0
46.95,8.0,99.0,166.0,191.0,262.0,46.0,330.0
54.95,7.0,99.0,376.0,262.0,382.0,70.5,816.0
209.0,18.0,99.0,1775.0,378.0,480.0,112.0,2730.0
69.95,7.0,99.0,545.0,282.0,480.0,61.0,1010.0
59.95,9.0,99.0,544.0,262.0,382.0,70.5,850.0
24.95,5.0,99.0,148.0,191.0,262.0,61.0,340.0
4.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
84.95,14.0,99.0,754.0,382.0,262.0,70.5,970.0
119.0,10.0,99.0,900.0,354.0,378.0,70.5,1210.0
26.95,4.0,99.0,110.0,141.0,262.0,61.0,330.0
59.95,9.0,99.0,665.0,262.0,382.0,70.5,885.0
24.95,1.5,99.0,15.0,191.0,354.0,91.0,474.0
39.95,8.0,99.0,364.0,222.0,262.0,76.0,550.0
59.95,4.0,99.0,155.0,262.0,382.0,56.5,620.0
169.0,9.0,99.0,1513.0,582.0,378.0,103.0,2330.0
26.95,6.0,99.0,310.0,262.0,282.0,59.0,270.0
119.0,7.0,99.0,786.0,378.0,480.0,70.5,1460.0
11.95,6.0,99.0,146.0,141.0,191.0,70.5,210.0
32.95,7.0,99.0,299.0,141.0,262.0,72.0,335.0
169.0,8.0,99.0,1682.0,378.0,582.0,87.0,2590.0
59.95,6.0,99.0,454.0,282.0,480.0,61.0,991.0
599.0,18.0,99.0,5129.0,480.0,523.0,218.0,7270.0
169.0,9.0,99.0,1176.0,378.0,582.0,87.0,1850.0
24.95,5.0,99.0,190.0,191.0,262.0,61.0,370.0
94.95,8.0,99.0,703.0,378.0,354.0,70.5,1070.0
46.95,6.0,99.0,181.0,191.0,262.0,61.0,340.0
54.95,2.0,99.0,71.0,282.0,480.0,91.0,1440.0
4.95,6.0,99.0,83.0,262.0,317.0,70.5,600.0
11.95,7.0,99.0,163.0,141.0,157.0,61.0,170.0
32.95,8.0,99.0,252.0,191.0,262.0,61.0,430.0
11.95,6.0,99.0,95.0,141.0,191.0,46.0,150.0
59.95,4.0,99.0,187.0,262.0,382.0,56.5,675.0
46.95,6.0,99.0,320.0,262.0,382.0,70.5,401.0
149.0,2.0,99.0,142.0,480.0,582.0,124.0,3210.0
199.0,7.0,12.0,843.0,282.0,540.0,91.0,1380.0
26.95,4.0,99.0,88.0,141.0,262.0,61.0,257.0
74.95,8.0,99.0,747.0,282.0,540.0,59.0,940.0
74.95,6.0,99.0,668.0,282.0,540.0,78.5,1370.0
54.95,9.0,99.0,755.0,262.0,382.0,56.5,865.0
149.0,9.0,99.0,1262.0,378.0,480.0,94.0,2030.0
139.0,16.0,99.0,960.0,282.0,480.0,74.0,1070.0
11.95,5.0,99.0,95.0,141.0,157.0,61.0,150.0
59.95,8.0,99.0,345.0,262.0,282.0,59.0,552.0
11.95,6.0,99.0,94.0,141.0,191.0,46.0,180.0
54.95,2.0,99.0,40.0,282.0,480.0,91.0,909.0
26.95,8.0,99.0,272.0,191.0,262.0,61.0,392.0
74.95,2.0,5.0,59.0,378.0,480.0,94.0,1480.0
26.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
119.0,12.0,99.0,1348.0,378.0,480.0,94.0,2030.0
54.95,8.0,99.0,491.0,262.0,382.0,56.5,722.0
4.95,6.0,99.0,95.0,262.0,317.0,70.5,600.0
46.95,8.0,99.0,387.0,222.0,262.0,76.0,520.0
24.95,8.0,99.0,258.0,191.0,262.0,61.0,410.0
26.95,6.0,99.0,175.0,205.0,191.0,61.0,285.0
11.95,5.0,99.0,70.0,141.0,157.0,45.0,123.0
79.95,8.0,99.0,695.0,282.0,480.0,61.0,1110.0
11.95,6.0,99.0,57.0,195.0,210.0,45.0,90.0
84.95,18.0,99.0,665.0,262.0,282.0,76.0,710.0
11.95,2.0,99.0,11.0,141.0,191.0,70.5,187.0
26.95,8.0,99.0,193.0,191.0,262.0,61.0,407.0
269.0,18.0,99.0,2314.0,582.0,378.0,103.0,2750.0
99.0,9.0,99.0,878.0,282.0,540.0,59.0,1340.0
79.95,9.0,99.0,625.0,262.0,382.0,70.5,790.0
24.95,4.0,99.0,85.0,191.0,262.0,46.0,326.0
109.0,8.0,99.0,851.0,282.0,480.0,74.0,1210.0
69.95,18.0,99.0,771.0,262.0,382.0,56.5,665.0
69.95,6.0,99.0,500.0,282.0,540.0,59.0,980.0
36.95,6.0,99.0,346.0,191.0,354.0,59.0,585.0
189.0,18.0,99.0,1508.0,480.0,282.0,91.0,1630.0
11.95,6.0,99.0,56.0,195.0,210.0,45.0,90.0
36.95,4.0,99.0,134.0,191.0,262.0,61.0,425.0
59.95,9.0,99.0,593.0,262.0,282.0,76.0,735.0
32.95,4.0,99.0,54.0,141.0,262.0,48.0,225.0
26.95,6.0,99.0,105.0,141.0,191.0,46.0,125.0
24.95,1.5,99.0,80.0,262.0,282.0,118.0,795.0
11.95,4.0,99.0,58.0,141.0,157.0,45.0,116.0
11.95,6.0,99.0,72.0,195.0,210.0,45.0,95.0
39.95,8.0,99.0,392.0,191.0,354.0,70.0,524.0
229.0,18.0,99.0,2354.0,480.0,582.0,91.0,3230.0
109.0,18.0,99.0,1222.0,382.0,262.0,94.0,1210.0
11.95,6.0,99.0,113.0,141.0,191.0,46.0,150.0
329.0,18.0,99.0,3955.0,480.0,582.0,170.0,5410.0
119.0,18.0,99.0,807.0,262.0,382.0,70.5,930.0
54.95,1.5,99.0,43.0,180.0,370.0,180.0,1020.0
24.95,1.5,99.0,19.0,191.0,354.0,91.0,535.0
99.0,6.0,99.0,688.0,354.0,378.0,94.0,1390.0
11.95,7.0,99.0,145.0,141.0,191.0,46.0,210.0
11.95,6.0,99.0,144.0,141.0,191.0,46.0,199.0
54.95,4.0,99.0,161.0,262.0,282.0,59.0,490.0
26.95,7.0,99.0,247.0,141.0,262.0,91.0,400.0
4.95,8.0,99.0,78.0,262.0,317.0,70.5,600.0
24.95,5.0,12.0,20.0,262.0,317.0,70.5,600.0
179.0,9.0,99.0,1022.0,378.0,582.0,87.0,2060.0
24.95,4.0,99.0,213.0,262.0,285.0,64.0,853.0
59.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
59.95,23.0,99.0,649.0,191.0,262.0,72.0,570.0
11.95,2.0,99.0,5.0,141.0,157.0,61.0,124.0
59.95,8.0,99.0,490.0,222.0,262.0,124.0,864.0
54.95,2.0,99.0,75.0,282.0,540.0,91.0,1160.0
11.95,2.0,99.0,10.0,141.0,191.0,91.0,223.0
11.95,4.0,99.0,48.0,141.0,191.0,46.0,115.0
74.95,6.0,99.0,706.0,282.0,540.0,78.5,1370.0
99.0,9.0,99.0,980.0,282.0,540.0,78.5,1550.0
54.95,8.0,99.0,349.0,282.0,262.0,59.0,555.0
26.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
24.95,5.0,99.0,112.0,191.0,262.0,61.0,420.0
24.95,5.0,99.0,200.0,191.0,262.0,61.0,365.0
11.95,4.0,99.0,64.0,141.0,157.0,61.0,160.0
46.95,4.0,99.0,149.0,222.0,262.0,76.0,547.0
69.95,5.0,99.0,1000.0,282.0,480.0,91.0,1750.0
24.95,2.0,5.0,23.0,262.0,282.0,95.5,661.0
54.95,6.0,99.0,462.0,282.0,480.0,61.0,960.0
59.95,7.0,99.0,254.0,262.0,282.0,59.0,438.0
46.95,8.0,99.0,357.0,222.0,262.0,76.0,524.0
89.95,8.0,99.0,605.0,282.0,480.0,61.0,1220.0
24.95,2.0,99.0,16.0,262.0,282.0,76.0,401.0
54.95,2.0,99.0,37.0,262.0,382.0,94.0,664.0
209.0,18.0,99.0,2099.0,582.0,378.0,118.0,3530.0
269.0,18.0,99.0,2708.0,582.0,480.0,124.0,3330.0
54.95,8.0,99.0,479.0,262.0,382.0,56.5,580.0
84.95,18.0,99.0,766.0,354.0,191.0,118.0,960.0
46.95,4.0,99.0,137.0,191.0,262.0,61.0,420.0
119.0,18.0,99.0,1197.0,282.0,480.0,74.0,1300.0
169.0,14.0,99.0,1901.0,378.0,582.0,87.0,2300.0
42.95,6.0,99.0,117.0,262.0,282.0,59.0,380.0
10.95,4.0,99.0,1.0,308.0,260.0,3.0,111.0
36.95,7.0,99.0,475.0,191.0,354.0,70.0,580.0
74.95,6.0,99.0,354.0,262.0,317.0,90.0,490.0
24.95,2.0,99.0,23.0,262.0,282.0,95.5,532.0
39.95,8.0,99.0,297.0,61.0,191.0,262.0,366.0
59.95,9.0,99.0,422.0,262.0,382.0,70.5,780.0
119.0,7.0,99.0,915.0,378.0,480.0,94.0,1790.0
109.0,18.0,99.0,590.0,354.0,191.0,91.0,730.0
24.95,7.0,99.0,258.0,191.0,262.0,61.0,465.0
119.0,18.0,99.0,1445.0,282.0,480.0,91.0,1640.0
159.0,18.0,99.0,979.0,480.0,378.0,112.0,1940.0
17.95,7.0,99.0,230.0,141.0,262.0,48.0,312.0
269.0,18.0,99.0,2585.0,480.0,378.0,112.0,2580.0
18.95,6.0,99.0,138.0,191.0,141.0,46.0,150.0
169.0,9.0,99.0,1159.0,378.0,582.0,87.0,1750.0
24.95,2.0,99.0,23.0,191.0,262.0,72.0,341.0
18.95,8.0,99.0,128.0,141.0,191.0,46.0,154.0
46.95,8.0,99.0,304.0,222.0,262.0,76.0,500.0
36.95,6.0,99.0,336.0,191.0,354.0,70.0,511.0
74.95,6.0,99.0,280.0,262.0,317.0,90.0,525.0
